Tiempo_s,Corriente_A,SoC,Voltaje_V,Temperatura_C,Potencia_W,C_rate,Calor_Generado_W,Energia_Wh
204,15.0,0.26999999999999935,3.5489999999999995,30.57306828358253,53.23499999999999,3.0,3.375,2.9303749999999997
205,15.0,0.2708333333333327,3.5499999999999994,30.590716399036,53.24999999999999,3.0,3.375,2.9451666666666663
206,15.0,0.27166666666666606,3.5509999999999993,30.608294159670603,53.264999999999986,3.0,3.375,2.9599624999999996
207,15.0,0.2724999999999994,3.551999999999999,30.62580184595824,53.27999999999999,3.0,3.375,2.9747624999999998
208,15.0,0.27333333333333276,3.5529999999999995,30.6432397372527,53.294999999999995,3.0,3.375,2.9895666666666663
209,15.0,0.2741666666666661,3.5539999999999994,30.660608111794126,53.30999999999999,3.0,3.375,3.0043749999999996
210,15.0,0.27499999999999947,3.5549999999999993,30.677907246713445,53.32499999999999,3.0,3.375,3.0191874999999997
211,15.0,0.2758333333333328,3.5559999999999996,30.69513741803679,53.339999999999996,3.0,3.375,3.034004166666666
212,15.0,0.2766666666666662,3.5569999999999995,30.712298900689902,53.35499999999999,3.0,3.375,3.0488249999999995
213,15.0,0.2774999999999995,3.5579999999999994,30.72939196850253,53.36999999999999,3.0,3.375,3.0636499999999995
214,15.0,0.2783333333333329,3.5589999999999997,30.746416894212786,53.385,3.0,3.375,3.078479166666666
215,15.0,0.27916666666666623,3.5599999999999996,30.763373949471504,53.39999999999999,3.0,3.375,3.0933124999999992
216,15.0,0.2799999999999996,3.5609999999999995,30.780263404846572,53.41499999999999,3.0,3.375,3.1081499999999993
217,15.0,0.28083333333333294,3.562,30.79708552982725,53.43,3.0,3.375,3.122991666666666
218,15.0,0.2816666666666663,3.5629999999999997,30.81384059282847,53.44499999999999,3.0,3.375,3.1378374999999994
219,15.0,0.28249999999999964,3.5639999999999996,30.830528861195116,53.459999999999994,3.0,3.375,3.1526874999999994
220,15.0,0.283333333333333,3.5649999999999995,30.847150601206298,53.474999999999994,3.0,3.375,3.1675416666666663
221,15.0,0.28416666666666635,3.566,30.86370607807959,53.489999999999995,3.0,3.375,3.1823999999999995
222,15.0,0.2849999999999997,3.5669999999999997,30.88019555597527,53.504999999999995,3.0,3.375,3.1972624999999995
223,15.0,0.28583333333333305,3.5679999999999996,30.896619298000527,53.519999999999996,3.0,3.375,3.2121291666666663
224,15.0,0.2866666666666664,3.569,30.912977566213673,53.535,3.0,3.375,3.2269999999999994
225,15.0,0.28749999999999976,3.57,30.929270621628305,53.55,3.0,3.375,3.2418749999999994
226,15.0,0.2883333333333331,3.5709999999999997,30.94549872421749,53.565,3.0,3.375,3.256754166666666
227,15.0,0.28916666666666646,3.5719999999999996,30.961662132917898,53.57999999999999,3.0,3.375,3.2716374999999993
228,15.0,0.2899999999999998,3.573,30.97776110563394,53.595,3.0,3.375,3.2865249999999993
229,15.0,0.29083333333333317,3.574,30.993795899241885,53.61,3.0,3.375,3.301416666666666
230,15.0,0.2916666666666665,3.5749999999999997,31.009766769593952,53.62499999999999,3.0,3.375,3.3163124999999996
231,15.0,0.29249999999999987,3.576,31.025673971522394,53.64,3.0,3.375,3.3312124999999995
232,15.0,0.2933333333333332,3.577,31.041517758843575,53.655,3.0,3.375,3.346116666666666
233,15.0,0.2941666666666666,3.578,31.057298384362007,53.669999999999995,3.0,3.375,3.3610249999999997
234,15.0,0.29499999999999993,3.579,31.073016099874383,53.685,3.0,3.375,3.3759374999999996
235,15.0,0.2958333333333333,3.58,31.088671156173607,53.7,3.0,3.375,3.3908541666666663
236,15.0,0.29666666666666663,3.581,31.10426380305279,53.714999999999996,3.0,3.375,3.4057749999999998
237,15.0,0.2975,3.5820000000000003,31.119794289309223,53.730000000000004,3.0,3.375,3.4206999999999996
238,15.0,0.29833333333333334,3.583,31.13526286274837,53.745000000000005,3.0,3.375,3.4356291666666663
239,15.0,0.2991666666666667,3.584,31.150669770187804,53.76,3.0,3.375,3.4505624999999998
240,15.0,0.30000000000000004,3.585,31.16601525746115,53.775,3.0,3.375,3.4654999999999996
241,15.0,0.3008333333333334,3.5860000000000003,31.181299569422016,53.790000000000006,3.0,3.375,3.480441666666666
242,15.0,0.30166666666666675,3.587,31.196522949947884,53.805,3.0,3.375,3.4953874999999996
243,15.0,0.3025000000000001,3.588,31.211685641944015,53.82,3.0,3.375,3.5103374999999994
244,15.0,0.30333333333333345,3.5890000000000004,31.22678788734732,53.83500000000001,3.0,3.375,3.525291666666666
245,15.0,0.3041666666666668,3.5900000000000003,31.24182992713022,53.85,3.0,3.375,3.5402499999999995
246,15.0,0.30500000000000016,3.591,31.256812001304485,53.865,3.0,3.375,3.5552124999999997
247,15.0,0.3058333333333335,3.592,31.271734348925083,53.88,3.0,3.375,3.5701791666666662
248,15.0,0.30666666666666687,3.5930000000000004,31.28659720809397,53.895,3.0,3.375,3.5851499999999996
249,15.0,0.3075000000000002,3.5940000000000003,31.3014008159639,53.910000000000004,3.0,3.375,3.600125
250,15.0,0.30833333333333357,3.595,31.316145408742212,53.925000000000004,3.0,3.375,3.6151041666666663
251,15.0,0.3091666666666669,3.5960000000000005,31.330831221694606,53.940000000000005,3.0,3.375,3.6300874999999997
252,15.0,0.3100000000000003,3.5970000000000004,31.34545848914887,53.955000000000005,3.0,3.375,3.645075
253,15.0,0.31083333333333363,3.5980000000000003,31.36002744449865,53.970000000000006,3.0,3.375,3.6600666666666664
254,15.0,0.311666666666667,3.5990000000000006,31.374538320207154,53.98500000000001,3.0,3.375,3.6750624999999997
255,15.0,0.31250000000000033,3.6000000000000005,31.388991347810865,54.00000000000001,3.0,3.375,3.6900625
